t_s,V_pu,delta_V_pu,V_initial_pu
2.02,1.0244043570949528,-0.005595642909852927,1.0300000000048057
2.03,1.0243773346853573,-0.005622665319448439,1.0300000000048057
2.04,1.0243498918107914,-0.005650108194014347,1.0300000000048057
2.05,1.024322099917825,-0.005677900086980658,1.0300000000048057
2.06,1.0242940305550359,-0.005705969449769865,1.0300000000048057
2.07,1.0242657551613497,-0.005734244843456082,1.0300000000048057
2.08,1.0242373448555566,-0.0057626551492491185,1.0300000000048057
2.09,1.0242088702283396,-0.00579112977646612,1.0300000000048057
2.1,1.0241804011375886,-0.005819598867217168,1.0300000000048057
2.11,1.0241520065081235,-0.005847993496682191,1.0300000000048057
2.12,1.02412375413665,-0.005876245868155827,1.0300000000048057
2.13,1.0240957105029196,-0.005904289501886151,1.0300000000048057
2.14,1.0240679405876707,-0.005932059417135038,1.0300000000048057
2.15,1.0240405076985337,-0.005959492306272018,1.0300000000048057
2.16,1.0240134733039727,-0.005986526700832995,1.0300000000048057
2.17,1.023986896876592,-0.0060131031282137926,1.0300000000048057
2.18,1.023960835745613,-0.00603916425919282,1.0300000000048057
2.19,1.0239353449596402,-0.006064655045165512,1.0300000000048057
2.2,1.023910477159748,-0.006089522845057704,1.0300000000048057
2.21,1.0238862824631276,-0.00611371754167811,1.0300000000048057
2.22,1.0238628083581875,-0.00613719164661819,1.0300000000048057
2.23,1.0238400996102646,-0.0061599003945411734,1.0300000000048057
2.24,1.0238181981791716,-0.006181801825634103,1.0300000000048057
2.25,1.0237971431478008,-0.006202856857004946,1.0300000000048057
2.26,1.0237769706622812,-0.0062230293425245,1.0300000000048057
2.27,1.0237577138832106,-0.006242286121595164,1.0300000000048057
2.28,1.023739402948466,-0.006260597056339634,1.0300000000048057
2.29,1.0237220649465406,-0.006277935058265127,1.0300000000048057
2.3,1.0237057239011922,-0.00629427610361355,1.0300000000048057
2.31,1.0236904007661491,-0.0063095992386565936,1.0300000000048057
2.32,1.0236761134304238,-0.006323886574381987,1.0300000000048057
2.33,1.0236628767332,-0.006337123271605849,1.0300000000048057
2.34,1.0236507024885284,-0.00634929751627733,1.0300000000048057
2.35,1.023639599518792,-0.006360400486013829,1.0300000000048057
2.36,1.0236295736971623,-0.006370426307643395,1.0300000000048057
2.37,1.0236206279979951,-0.006379372006810602,1.0300000000048057
2.38,1.0236127625551887,-0.006387237449617,1.0300000000048057
2.39,1.0236059747276354,-0.006394025277170368,1.0300000000048057
2.4,1.0236002591715783,-0.006399740833227474,1.0300000000048057
2.41,1.0235956079190995,-0.006404392085706201,1.0300000000048057
2.42,1.023592010462498,-0.006407989542307702,1.0300000000048057
2.43,1.0235894538437855,-0.006410546161020214,1.0300000000048057
2.44,1.0235879227490459,-0.006412077255759874,1.0300000000048057
2.45,1.0235873996069067,-0.006412600397899038,1.0300000000048057
2.46,1.023587864690874,-0.0064121353139316994,1.0300000000048057
2.47,1.0235892962248025,-0.006410703780003191,1.0300000000048057
2.48,1.0235916704912384,-0.00640832951356729,1.0300000000048057
2.49,1.023594961941985,-0.006405038062820667,1.0300000000048057
2.5,1.0235991433105796,-0.006400856694226187,1.0300000000048057
2.51,1.023604185726151,-0.006395814278654655,1.0300000000048057
