t_s,delta_pm_pu,Pm0_pu_sysbase
2.11,0.05060195459155686,1.1175729314688707
2.12,0.050655345086221285,1.1175729314688707
2.13,0.0507090712454563,1.1175729314688707
2.14,0.050763041691784555,1.1175729314688707
2.15,0.050817165308418705,1.1175729314688707
2.16,0.050871351521080174,1.1175729314688707
2.17,0.05092551056239299,1.1175729314688707
2.18,0.0509795537190472,1.1175729314688707
2.19,0.05103339356180471,1.1175729314688707
2.2,0.051086944158769354,1.1175729314688707
2.21,0.05114012127230075,1.1175729314688707
2.22,0.051192842539907434,1.1175729314688707
2.23,0.051245027639949266,1.1175729314688707
2.24,0.051296598442407505,1.1175729314688707
2.25,0.0513474791456456,1.1175729314688707
2.26,0.05139759639967865,1.1175729314688707
2.27,0.051446879416823105,1.1175729314688707
2.28,0.0514952600701706,1.1175729314688707
2.29,0.05154267298103715,1.1175729314688707
2.3,0.051589055595645875,1.1175729314688707
2.31,0.05163434825223897,1.1175729314688707
2.32,0.051678494238894666,1.1175729314688707
2.33,0.05172143984314469,1.1175729314688707
2.34,0.05176313439360172,1.1175729314688707
2.35,0.05180353029475805,1.1175729314688707
2.36,0.05184258305493246,1.1175729314688707
2.37,0.05188025130853558,1.1175729314688707
2.38,0.05191649683254373,1.1175729314688707
2.39,0.0519512845582151,1.1175729314688707
2.4,0.05198458257791648,1.1175729314688707
2.41,0.05201636214789869,1.1175729314688707
2.42,0.052046597686889656,1.1175729314688707
2.43,0.05207526677115385,1.1175729314688707
2.44,0.05210235012593596,1.1175729314688707
2.45,0.05212783161361459,1.1175729314688707
2.46,0.05215169821861619,1.1175729314688707
2.47,0.052173940029251444,1.1175729314688707
2.48,0.052194550216387275,1.1175729314688707
2.49,0.052213525009071594,1.1175729314688707
2.5,0.05223086366714064,1.1175729314688707
2.51,0.05224656845047844,1.1175729314688707
2.52,0.0522606445853094,1.1175729314688707
2.53,0.052273100226914476,1.1175729314688707
2.54,0.052283946419187655,1.1175729314688707
2.55,0.052293197050404944,1.1175729314688707
2.56,0.052300868805584294,1.1175729314688707
2.57,0.05230698111481433,1.1175729314688707
2.58,0.05231155609791977,1.1175729314688707
2.59,0.05231461850486197,1.1175729314688707
2.6,0.05231619565223624,1.1175729314688707
2.61,0.05231631735531495,1.1175729314688707
2.62,0.05231501585595965,1.1175729314688707
2.63,0.05231232574604585,1.1175729314688707
2.64,0.052308283886473524,1.1175729314688707
2.65,0.05230292932183287,1.1175729314688707
2.66,0.05229630319046751,1.1175729314688707
2.67,0.052288448630327874,1.1175729314688707
2.68,0.05227941068029816,1.1175729314688707
2.69,0.05226923617744329,1.1175729314688707
2.7,0.05225797364995704,1.1175729314688707
2.71,0.052245673206265296,1.1175729314688707
2.72,0.052232386420233125,1.1175729314688707
2.73,0.05221816621280062,1.1175729314688707
2.74,0.05220306673025239,1.1175729314688707
2.75,0.0521871432193803,1.1175729314688707
2.76,0.05217045189981932,1.1175729314688707
2.77,0.052153049833915284,1.1175729314688707
2.78,0.05213499479436837,1.1175729314688707
2.79,0.05211634513012593,1.1175729314688707
2.8,0.05209715963080174,1.1175729314688707
2.81,0.05207749739005723,1.1175729314688707
2.82,0.05205741766835173,1.1175729314688707
2.83,0.05203697975546183,1.1175729314688707
2.84,0.05201624283319836,1.1175729314688707
2.85,0.05199526583877109,1.1175729314688707
2.86,0.051974107329190534,1.1175729314688707
2.87,0.05195282534720902,1.1175729314688707
2.88,0.051931477289159964,1.1175729314688707
2.89,0.05191011977517299,1.1175729314688707
2.9,0.05188880852217106,1.1175729314688707
2.91,0.05186759822004978,1.1175729314688707
2.92,0.051846542411472206,1.1175729314688707
2.93,0.05182569337557594,1.1175729314688707
2.94,0.051805102016113276,1.1175729314688707
2.95,0.05178481775416212,1.1175729314688707
2.96,0.05176488842599243,1.1175729314688707
2.97,0.05174536018608717,1.1175729314688707
2.98,0.05172627741594496,1.1175729314688707
2.99,0.05170768263856533,1.1175729314688707
3.0,0.05168961643918832,1.1175729314688707
3.01,0.0516721173922043,1.1175729314688707
3.02,0.051655221994573355,1.1175729314688707
3.03,0.05163896460592257,1.1175729314688707
3.04,0.05162337739524475,1.1175729314688707
3.05,0.051608490294607984,1.1175729314688707
3.06,0.051594330959551495,1.1175729314688707
3.07,0.051580924736622416,1.1175729314688707
3.08,0.05156829463761986,1.1175729314688707
3.09,0.051556461320974946,1.1175729314688707
3.1,0.05154544307977316,1.1175729314688707
3.11,0.05153525583675621,1.1175729314688707
3.12,0.0515259131458917,1.1175729314688707
3.13,0.051517426200510114,1.1175729314688707
3.14,0.05150980384797244,1.1175729314688707
3.15,0.05150305261043048,1.1175729314688707
3.16,0.05149717671182818,1.1175729314688707
3.17,0.051492178110580336,1.1175729314688707
3.18,0.05148805653808559,1.1175729314688707
3.19,0.05148480954245355,1.1175729314688707
3.2,0.05148243253755946,1.1175729314688707
3.21,0.05148091885682107,1.1175729314688707
3.22,0.05148025981174355,1.1175729314688707
3.23,0.05148044475465002,1.1175729314688707
3.24,0.0514814611455905,1.1175729314688707
3.25,0.05148329462284453,1.1175729314688707
3.26,0.051485929077019384,1.1175729314688707
3.27,0.05148934672812551,1.1175729314688707
3.28,0.05149352820563155,1.1175729314688707
3.29,0.051498452630895135,1.1175729314688707
3.3,0.051504097701950795,1.1175729314688707
3.31,0.05151043978008138,1.1175729314688707
3.32,0.051517453978103006,1.1175729314688707
3.33,0.051525114249894276,1.1175729314688707
3.34,0.051533393481008355,1.1175729314688707
3.35,0.05154226357998344,1.1175729314688707
3.36,0.051551695570154876,1.1175729314688707
3.37,0.05156165968163629,1.1175729314688707
3.38,0.05157212544326976,1.1175729314688707
3.39,0.05158306177423723,1.1175729314688707
