t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,p_network_abs_pu,q_network_abs_pu,delta_p_load_pu,delta_q_load_pu,asset_type
0.64,0.8555739689863775,-0.039106051124768004,0.8555739689863775,-0.039106051124768004,0.9668112874297545,-0.15945576417364932,0.0,0.0,SG-slack
0.65,0.8757451011066734,-0.039936493374521986,0.8757451011066734,-0.039936493374521986,0.9869824195500504,-0.1602862064234033,0.0,0.0,SG-slack
0.66,0.8952485480801358,-0.040681190492767944,0.8952485480801358,-0.040681190492767944,1.0064858665235128,-0.16103090354164926,0.0,0.0,SG-slack
0.67,0.9140822265088981,-0.041343259237544366,0.9140822265088981,-0.041343259237544366,1.0253195449522752,-0.16169297228642568,0.0,0.0,SG-slack
0.68,0.9322472460324973,-0.041925559493923376,0.9322472460324973,-0.041925559493923376,1.0434845644758743,-0.1622752725428047,0.0,0.0,SG-slack
0.69,0.9497477593799566,-0.042431268647715625,0.9497477593799566,-0.042431268647715625,1.0609850778233336,-0.16278098169659694,0.0,0.0,SG-slack
0.7,0.9665907670508815,-0.04286417506208731,0.9665907670508815,-0.04286417506208731,1.0778280854942586,-0.16321388811096862,0.0,0.0,SG-slack
0.71,0.9827858499973885,-0.043228579204915296,0.9827858499973885,-0.043228579204915296,1.0940231684407655,-0.1635782922537966,0.0,0.0,SG-slack
0.72,0.9983448583038386,-0.04352900219136213,0.9983448583038386,-0.04352900219136213,1.1095821767472156,-0.16387871524024344,0.0,0.0,SG-slack
0.73,1.0132816018225952,-0.04376995310711593,1.0132816018225952,-0.04376995310711593,1.1245189202659722,-0.16411966615599724,0.0,0.0,SG-slack
0.74,1.0276115690276102,-0.04395586566217807,1.0276115690276102,-0.04395586566217807,1.1388488874709872,-0.16430557871105939,0.0,0.0,SG-slack
0.75,1.0413516719098168,-0.04409115560999394,1.0413516719098168,-0.04409115560999394,1.1525889903531938,-0.16444086865887525,0.0,0.0,SG-slack
0.76,1.0545199999879769,-0.04418028776766089,1.0545199999879769,-0.04418028776766089,1.1657573184313539,-0.1645300008165422,0.0,0.0,SG-slack
0.77,1.0671355708439294,-0.044227780011419277,1.0671355708439294,-0.044227780011419277,1.1783728892873064,-0.1645774930603006,0.0,0.0,SG-slack
0.78,1.0792180776788705,-0.04423814428245487,1.0792180776788705,-0.04423814428245487,1.1904553961222475,-0.16458785733133618,0.0,0.0,SG-slack
0.79,1.0907876435529593,-0.04421580858724239,1.0907876435529593,-0.04421580858724239,1.2020249619963363,-0.1645655216361237,0.0,0.0,SG-slack
0.8,1.1018645922970003,-0.0441650604502323,1.1018645922970003,-0.0441650604502323,1.2131019107403773,-0.16451477349911361,0.0,0.0,SG-slack
0.81,1.1124692403213676,-0.04409002295289094,1.1124692403213676,-0.04409002295289094,1.2237065587647447,-0.16443973600177225,0.0,0.0,SG-slack
0.82,1.122621708025018,-0.043994649334021696,1.122621708025018,-0.043994649334021696,1.233859026468395,-0.164344362382903,0.0,0.0,SG-slack
0.83,1.1323417476935824,-0.04388271688647302,1.1323417476935824,-0.04388271688647302,1.2435790661369595,-0.16423242993535433,0.0,0.0,SG-slack
0.84,1.1416485864782484,-0.04375781084984551,1.1416485864782484,-0.04375781084984551,1.2528859049216254,-0.16410752389872682,0.0,0.0,SG-slack
0.85,1.1505607854142241,-0.043623301625527494,1.1505607854142241,-0.043623301625527494,1.2617981038576012,-0.1639730146744088,0.0,0.0,SG-slack
0.86,1.1590961165925722,-0.043482323715007015,1.1590961165925722,-0.043482323715007015,1.2703334350359492,-0.16383203676388833,0.0,0.0,SG-slack
0.87,1.1672714600354688,-0.04333776259944949,1.1672714600354688,-0.04333776259944949,1.2785087784788458,-0.1636874756483308,0.0,0.0,SG-slack
0.88,1.175102720231999,-0.04319224963519955,1.175102720231999,-0.04319224963519955,1.286340038675376,-0.16354196268408086,0.0,0.0,SG-slack
0.89,1.1826047615402755,-0.043048162037320314,1.1826047615402755,-0.043048162037320314,1.2938420799836525,-0.16339787508620163,0.0,0.0,SG-slack
0.9,1.1897913611026838,-0.04290762421843228,1.1897913611026838,-0.04290762421843228,1.3010286795460608,-0.1632573372673136,0.0,0.0,SG-slack
0.91,1.196675178627041,-0.04277250982154571,1.196675178627041,-0.04277250982154571,1.3079124970704181,-0.16312222287042702,0.0,0.0,SG-slack
0.92,1.203267742304084,-0.04264444474607618,1.203267742304084,-0.04264444474607618,1.314505060747461,-0.1629941577949575,0.0,0.0,SG-slack
0.93,1.2095794505747355,-0.04252481294079896,1.2095794505747355,-0.04252481294079896,1.3208167690181125,-0.16287452598968027,0.0,0.0,SG-slack
0.94,1.2156195887770902,-0.042414765055408005,1.2156195887770902,-0.042414765055408005,1.3268569072204672,-0.16276447810428932,0.0,0.0,SG-slack
0.95,1.2213963597659543,-0.042315229909206276,1.2213963597659543,-0.042315229909206276,1.3326336782093313,-0.1626649429580876,0.0,0.0,SG-slack
0.96,1.22691692707169,-0.04222692749417417,1.22691692707169,-0.04222692749417417,1.338154245515067,-0.16257664054305548,0.0,0.0,SG-slack
0.97,1.2321874693303807,-0.04215038297284357,1.2321874693303807,-0.04215038297284357,1.3434247877737577,-0.16250009602172488,0.0,0.0,SG-slack
0.98,1.2372132447657653,-0.0420859412568757,1.2372132447657653,-0.0420859412568757,1.3484505632091424,-0.16243565430575702,0.0,0.0,SG-slack
0.99,1.2419986643731888,-0.04203378207357186,1.2419986643731888,-0.04203378207357186,1.3532359828165659,-0.16238349512245318,0.0,0.0,SG-slack
1.0,1.2465473726598937,-0.041993935582150976,1.2465473726598937,-0.041993935582150976,1.3577846911032707,-0.1623436486310323,0.0,0.0,SG-slack
1.01,1.2508623346019059,-0.04196629831092341,1.2508623346019059,-0.04196629831092341,1.362099653045283,-0.16231601135980472,0.0,0.0,SG-slack
1.02,1.254945927465834,-0.04195064916607555,1.254945927465834,-0.04195064916607555,1.3661832459092111,-0.16230036221495686,0.0,0.0,SG-slack
1.03,1.2588000362251732,-0.04194666515556966,1.2588000362251732,-0.04194666515556966,1.3700373546685503,-0.16229637820445098,0.0,0.0,SG-slack
