t_s,delta_p_pu,p_abs_pu,p_initial_pu,delta_q_pu,q_abs_pu,q_initial_pu,asset_type,device_name
0.72,-0.014538243564144711,0.9854617564360905,1.0000000000002351,0.016099557281878774,1.5912973628071576,1.5751978055252789,GFL,gen-2
0.73,-0.016002236145747577,0.9839977638544876,1.0000000000002351,0.015601724248786128,1.590799529774065,1.5751978055252789,GFL,gen-2
0.74,-0.01740962243320505,0.98259037756703,1.0000000000002351,0.015023661314472594,1.5902214668397516,1.5751978055252789,GFL,gen-2
0.75,-0.018753643129587882,0.9812463568706473,1.0000000000002351,0.014368019391120116,1.589565824916399,1.5751978055252789,GFL,gen-2
0.76,-0.020028021946438074,0.9799719780537971,1.0000000000002351,0.013637952199420118,1.588835757724699,1.5751978055252789,GFL,gen-2
0.77,-0.021226975985175242,0.97877302401506,1.0000000000002351,0.012837048271933943,1.5880348537972129,1.5751978055252789,GFL,gen-2
0.78,-0.02234521590952896,0.9776547840907062,1.0000000000002351,0.011969273081833435,1.5871670786071121,1.5751978055252789,GFL,gen-2
0.79,-0.023377962421367523,0.9766220375788676,1.0000000000002351,0.011038933926384723,1.5862367394516634,1.5751978055252789,GFL,gen-2
0.8,-0.024320979951163335,0.9756790200490718,1.0000000000002351,0.010050657967122944,1.5852484634924018,1.5751978055252789,GFL,gen-2
0.81,-0.02517061249040285,0.9748293875098323,1.0000000000002351,0.009009367384598458,1.5842071729098772,1.5751978055252789,GFL,gen-2
0.82,-0.025923807075267064,0.974076192924968,1.0000000000002351,0.007920242943895971,1.583118048469175,1.5751978055252789,GFL,gen-2
0.83,-0.026578120946437873,0.9734218790537973,1.0000000000002351,0.006788678035216762,1.5819864835604958,1.5751978055252789,GFL,gen-2
0.84,-0.027131717273367866,0.9728682827268672,1.0000000000002351,0.005620230497151701,1.5808180360224307,1.5751978055252789,GFL,gen-2
0.85,-0.027583356712977635,0.9724166432872575,1.0000000000002351,0.004420578107140517,1.5796183836324196,1.5751978055252789,GFL,gen-2
0.86,-0.027932388578570774,0.9720676114216644,1.0000000000002351,0.003195478950540463,1.5783932844758193,1.5751978055252789,GFL,gen-2
0.87,-0.028178740930622104,0.971821259069613,1.0000000000002351,0.0019507345657107677,1.5771485400909897,1.5751978055252789,GFL,gen-2
0.88,-0.028322907076473718,0.9716770929237615,1.0000000000002351,0.0006921533946780423,1.5758899589199569,1.5751978055252789,GFL,gen-2
0.89,-0.028365926546854305,0.9716340734533808,1.0000000000002351,-0.0005744862256994561,1.5746233192995793,1.5751978055252789,GFL,gen-2
0.9,-0.028309360878549173,0.971690639121686,1.0000000000002351,-0.001843472628714952,1.573354332896564,1.5751978055252789,GFL,gen-2
0.91,-0.028155265560448256,0.9718447344397869,1.0000000000002351,-0.003109195417922737,1.5720886101073561,1.5751978055252789,GFL,gen-2
0.92,-0.027906159832537972,0.9720938401676971,1.0000000000002351,-0.004366177222520501,1.5708316283027584,1.5751978055252789,GFL,gen-2
0.93,-0.02756499498847796,0.9724350050117572,1.0000000000002351,-0.005609102486293658,1.5695887030389852,1.5751978055252789,GFL,gen-2
0.94,-0.027135121360387357,0.9728648786398477,1.0000000000002351,-0.006832843758312847,1.568364961766966,1.5751978055252789,GFL,gen-2
0.95,-0.026620253735349583,0.9733797462648855,1.0000000000002351,-0.00803248578857368,1.5671653197367053,1.5751978055252789,GFL,gen-2
0.96,-0.026024435361879632,0.9739755646383556,1.0000000000002351,-0.009203347519226114,1.5659944580060527,1.5751978055252789,GFL,gen-2
0.97,-0.025352000918625734,0.9746479990816094,1.0000000000002351,-0.010341001746988262,1.5648568037782906,1.5751978055252789,GFL,gen-2
0.98,-0.02460753900514382,0.9753924609950914,1.0000000000002351,-0.011441292227112165,1.5637565132981668,1.5751978055252789,GFL,gen-2
0.99,-0.023795854682466852,0.9762041453177683,1.0000000000002351,-0.012500348182169354,1.5626974573431094,1.5751978055252789,GFL,gen-2
1.0,-0.022921932358453252,0.977078067641782,1.0000000000002351,-0.013514596263950312,1.5616832092613286,1.5751978055252789,GFL,gen-2
1.01,-0.021990899230875986,0.9780091007693591,1.0000000000002351,-0.014480770132746802,1.5607170353925321,1.5751978055252789,GFL,gen-2
1.02,-0.021007989453118787,0.9789920105471164,1.0000000000002351,-0.01539591778888108,1.559801887736398,1.5751978055252789,GFL,gen-2
1.03,-0.01997850921513221,0.9800214907851029,1.0000000000002351,-0.016257406702501004,1.5589403988227777,1.5751978055252789,GFL,gen-2
1.04,-0.0189078029795256,0.9810921970207095,1.0000000000002351,-0.017062926817469327,1.5581348787078095,1.5751978055252789,GFL,gen-2
1.05,-0.017801221096056516,0.9821987789041786,1.0000000000002351,-0.017810491470747175,1.5573873140545316,1.5751978055252789,GFL,gen-2
1.06,-0.016664088983547196,0.9833359110166879,1.0000000000002351,-0.01849843630918578,1.556699369216093,1.5751978055252789,GFL,gen-2
1.07,-0.01550167802114914,0.984498321979086,1.0000000000002351,-0.019125416333681353,1.5560723891915975,1.5751978055252789,GFL,gen-2
1.08,-0.014319178245257344,0.9856808217549777,1.0000000000002351,-0.019690401193019937,1.5555074043322588,1.5751978055252789,GFL,gen-2
1.09,-0.013121672952423866,0.9868783270478113,1.0000000000002351,-0.020192668826888388,1.5550051366983906,1.5751978055252789,GFL,gen-2
1.1,-0.011914115261303012,0.9880858847389322,1.0000000000002351,-0.020631797603533706,1.5545660079217452,1.5751978055252789,GFL,gen-2
1.11,-0.01070130673202687,0.9892986932682082,1.0000000000002351,-0.021007657019803005,1.5541901485054759,1.5751978055252789,GFL,gen-2
1.12,-0.009487878053906966,0.9905121219463282,1.0000000000002351,-0.02132039711805334,1.5538774084072255,1.5751978055252789,GFL,gen-2
1.13,-0.008278271872316613,0.9917217281279185,1.0000000000002351,-0.021570436701950028,1.5536273688233289,1.5751978055252789,GFL,gen-2
1.14,-0.007076727714799455,0.9929232722854358,1.0000000000002351,-0.02175845051075313,1.5534393550145258,1.5751978055252789,GFL,gen-2
1.15,-0.005887269055677227,0.9941127309445579,1.0000000000002351,-0.021885355446274866,1.553312450079004,1.5751978055252789,GFL,gen-2
1.16,-0.004713692446555615,0.9952863075536795,1.0000000000002351,-0.02195229600459646,1.5532455095206823,1.5751978055252789,GFL,gen-2
1.17,-0.0035595587203791613,0.996440441279856,1.0000000000002351,-0.021960629013565193,1.5532371765117137,1.5751978055252789,GFL,gen-2
1.18,-0.0024281861918025566,0.9975718138084325,1.0000000000002351,-0.021911907813327684,1.5532858977119512,1.5751978055252789,GFL,gen-2
1.19,-0.0013226458089807412,0.9986773541912545,1.0000000000002351,-0.021807865997947498,1.5533899395273312,1.5751978055252789,GFL,gen-2
1.2,-0.00024575819172471293,0.9997542418085104,1.0000000000002351,-0.021650400833760904,1.553547404691518,1.5751978055252789,GFL,gen-2
1.21,0.0007999075491024671,1.0007999075493377,1.0000000000002351,-0.02144155649304358,1.5537562490322352,1.5751978055252789,GFL,gen-2
1.22,0.0018120332658634812,1.0018120332660987,1.0000000000002351,-0.021183507197776615,1.5540142983275023,1.5751978055252789,GFL,gen-2
1.23,0.0027885496324537287,1.002788549632689,1.0000000000002351,-0.020878540411476378,1.5543192651138025,1.5751978055252789,GFL,gen-2
1.24,0.003727632492950113,1.0037276324931854,1.0000000000002351,-0.020529040173397295,1.5546687653518816,1.5751978055252789,GFL,gen-2
1.25,0.004627697816377845,1.004627697816613,1.0000000000002351,-0.02013747069247228,1.5550603348328067,1.5751978055252789,GFL,gen-2
1.26,0.005487395372730812,1.005487395372966,1.0000000000002351,-0.0197063602938683,1.5554914452314106,1.5751978055252789,GFL,gen-2
1.27,0.006305601257863083,1.0063056012580982,1.0000000000002351,-0.019238285823959964,1.555959519701319,1.5751978055252789,GFL,gen-2
1.28,0.007081409373569772,1.007081409373805,1.0000000000002351,-0.018735857590302125,1.5564619479349766,1.5751978055252789,GFL,gen-2
1.29,0.007814122009362873,1.007814122009598,1.0000000000002351,-0.018201704930330125,1.5569961005949489,1.5751978055252789,GFL,gen-2
1.3,0.008503239640830927,1.008503239641066,1.0000000000002351,-0.017638462476144666,1.5575593430491341,1.5751978055252789,GFL,gen-2
1.31,0.00914845006911973,1.0091484500693548,1.0000000000002351,-0.017048757180285264,1.5581490483449936,1.5751978055252789,GFL,gen-2
1.32,0.009749617041228967,1.0097496170414642,1.0000000000002351,-0.01643519616426355,1.5587626093610154,1.5751978055252789,GFL,gen-2
1.33,0.01030676845736134,1.0103067684575964,1.0000000000002351,-0.015800355432471446,1.5593974500928074,1.5751978055252789,GFL,gen-2
1.34,0.0108200843072437,1.0108200843074788,1.0000000000002351,-0.015146769492601363,1.5600510360326776,1.5751978055252789,GFL,gen-2
1.35,0.011289884432087394,1.0112898844323224,1.0000000000002351,-0.01447692191147833,1.5607208836138007,1.5751978055252789,GFL,gen-2
1.36,0.011716616243941184,1.0117166162441764,1.0000000000002351,-0.01379323682489527,1.5614045687003835,1.5751978055252789,GFL,gen-2
1.37,0.012100842502949322,1.0121008425031846,1.0000000000002351,-0.013098071410269278,1.5620997341150096,1.5751978055252789,GFL,gen-2
1.38,0.012443229248061906,1.012443229248297,1.0000000000002351,-0.012393709328701034,1.562804096196578,1.5751978055252789,GFL,gen-2
1.39,0.012744533992504619,1.0127445339927397,1.0000000000002351,-0.01168235511864855,1.5635154504066302,1.5751978055252789,GFL,gen-2
1.4,0.01300559425343624,1.0130055942536713,1.0000000000002351,-0.010966129537214146,1.5642316759880648,1.5751978055252789,GFL,gen-2
1.41,0.013227316512881967,1.0132273165131171,1.0000000000002351,-0.01024706581068219,1.5649507397145968,1.5751978055252789,GFL,gen-2
1.42,0.013410665666253457,1.0134106656664885,1.0000000000002351,-0.009527106777611902,1.565670698747667,1.5751978055252789,GFL,gen-2
1.43,0.013556655035171877,1.013556655035407,1.0000000000002351,-0.008808102869748077,1.566389702655531,1.5751978055252789,GFL,gen-2
1.44,0.013666336986127374,1.0136663369863625,1.0000000000002351,-0.00809181090304464,1.5671059946222343,1.5751978055252789,GFL,gen-2
1.45,0.013740794211408534,1.0137407942116436,1.0000000000002351,-0.00737989361138094,1.567817911913898,1.5751978055252789,GFL,gen-2
1.46,0.013781131697428723,1.0137811316976637,1.0000000000002351,-0.006673919886155415,1.5685238856391235,1.5751978055252789,GFL,gen-2
1.47,0.013788469417200053,1.013788469417435,1.0000000000002351,-0.005975365645551993,1.5692224398797268,1.5751978055252789,GFL,gen-2
1.48,0.013763935755547348,1.0137639357557826,1.0000000000002351,-0.005285615290732827,1.5699121902345459,1.5751978055252789,GFL,gen-2
1.49,0.01370866168453659,1.0137086616847717,1.0000000000002351,-0.004605963666595654,1.570591841858683,1.5751978055252789,GFL,gen-2
1.5,0.013623775682300865,1.013623775682536,1.0000000000002351,-0.0039376184824829645,1.571260187042796,1.5751978055252789,GFL,gen-2
1.51,0.013510399394814784,1.0135103993950498,1.0000000000002351,-0.0032817031068966677,1.571916102418382,1.5751978055252789,GFL,gen-2
1.52,0.013369644019239355,1.0133696440194746,1.0000000000002351,-0.0026392596928031635,1.5725585458324756,1.5751978055252789,GFL,gen-2
1.53,0.013202607392990702,1.0132026073932259,1.0000000000002351,-0.0020112525484858525,1.573186552976793,1.5751978055252789,GFL,gen-2
1.54,0.01301037175490858,1.0130103717551437,1.0000000000002351,-0.0013985717103807802,1.573799233814898,1.5751978055252789,GFL,gen-2
1.55,0.012794002147928066,1.0127940021481632,1.0000000000002351,-0.0008020366442316099,1.5743957688810473,1.5751978055252789,GFL,gen-2
1.56,0.012554545422034715,1.0125545454222697,1.0000000000002351,-0.0002224000218934457,1.5749754055033853,1.5751978055252789,GFL,gen-2
1.57,0.012293029793269633,1.0122930297935049,1.0000000000002351,0.00033964847526446245,1.5755374540005433,1.5751978055252789,GFL,gen-2
1.58,0.012010464912548023,1.0120104649127832,1.0000000000002351,0.0008834783895467686,1.5760812839148257,1.5751978055252789,GFL,gen-2
1.59,0.011707842390923305,1.0117078423911585,1.0000000000002351,0.0014085147872576634,1.5766063203125367,1.5751978055252789,GFL,gen-2
1.6,0.011386136730511249,1.0113861367307464,1.0000000000002351,0.0019142346845537625,1.5771120402098326,1.5751978055252789,GFL,gen-2
1.61,0.011046306603305684,1.011046306603541,1.0000000000002351,0.0024001636230318647,1.5775979691483109,1.5751978055252789,GFL,gen-2
1.62,0.010689296424303581,1.0106892964245386,1.0000000000002351,0.0028658724365193088,1.5780636779617983,1.5751978055252789,GFL,gen-2
1.63,0.010316038159877333,1.0103160381601124,1.0000000000002351,0.003310974235493075,1.578508779760772,1.5751978055252789,GFL,gen-2
1.64,0.009927453317611393,1.0099274533178466,1.0000000000002351,0.0037351216282360024,1.5789329271535149,1.5751978055252789,GFL,gen-2
1.65,0.009524455060174044,1.0095244550604092,1.0000000000002351,0.004138004204860522,1.5793358097301393,1.5751978055252789,GFL,gen-2
1.66,0.009107950390571287,1.0091079503908065,1.0000000000002351,0.004519346290173691,1.5797171518154525,1.5751978055252789,GFL,gen-2
1.67,0.008678842356947988,1.008678842357183,1.0000000000002351,0.004878904980649582,1.5800767105059286,1.5751978055252789,GFL,gen-2
1.68,0.00823803222613215,1.0082380322263673,1.0000000000002351,0.005216468466286373,1.5804142739915652,1.5751978055252789,GFL,gen-2
1.69,0.007786421581819318,1.0077864215820544,1.0000000000002351,0.005531854638765511,1.5807296601640444,1.5751978055252789,GFL,gen-2
1.7,0.007324914301761623,1.0073249143019969,1.0000000000002351,0.005824909982760135,1.581022715508039,1.5751978055252789,GFL,gen-2
