t_s,p_oc_pu,delta_p_oc_pu,p_ref_eff_pu,p_error_pu,omega_pll_pu,Kw
7.32,0.4314624581841912,-3.9080145996572964e-5,1.0952799703278826,0.6638175121436913,0.9993389550199036,10.0
7.33,0.43146248990582037,-3.904842436737355e-5,1.0952799778555689,0.6638174879497485,0.9993389547187961,10.0
7.34,0.4314626031990466,-3.893513114116386e-5,1.0952799683181982,0.6638173651191518,0.9993389551002908,10.0
7.35,0.431462796491312,-3.8741838875752805e-5,1.0952799424560926,0.6638171459647807,0.9993389561347751,10.0
7.36,0.43146306804195506,-3.847028823273029e-5,1.0952799010311853,0.6638168329892304,0.9993389577917713,10.0
7.37,0.4314634159494334,-3.812238075438233e-5,1.095279844824815,0.6638164288753818,0.9993389600400262,10.0
7.38,0.4314638381588063,-3.770017138149952e-5,1.0952797746355165,0.6638159364767103,0.9993389628475982,10.0
7.39,0.43146433246945776,-3.720586072999408e-5,1.0952796912768044,0.6638153588073465,0.9993389661819466,10.0
7.4,0.4314648965430369,-3.6641787150905746e-5,1.0952795955749655,0.6638146990319287,0.9993389700100201,10.0
7.41,0.4314655279115974,-3.601041859036855e-5,1.095279488366852,0.6638139604552546,0.9993389742983446,10.0
7.42,0.43146622398590867,-3.531434427911444e-5,1.0952793704976853,0.6638131465117767,0.9993389790131113,10.0
7.43,0.43146698206391126,-3.455626627649999e-5,1.0952792428188944,0.6638122607549831,0.999338984120263,10.0
7.44,0.4314677993392995,-3.3738990888228675e-5,1.0952791061859586,0.6638113068466591,0.9993389895855804,10.0
7.45,0.43146867291020663,-3.2865419981169983e-5,1.0952789614562832,0.6638102885460766,0.9993389953747674,10.0
7.46,0.43146959978797106,-3.193854221668208e-5,1.0952788094871184,0.6638092096991474,0.9993390014535339,10.0
7.47,0.4314705769059559,-3.096142423184387e-5,1.0952786511335102,0.6638080742275544,0.9993390077876783,10.0
7.48,0.43147160112840366,-2.993720178413967e-5,1.0952784872462789,0.6638068861178753,0.9993390143431676,10.0
7.49,0.43147266925930255,-2.8869070885200017e-5,1.095278318670065,0.6638056494107625,0.9993390210862161,10.0
7.5,0.43147377805124354,-2.776027894427013e-5,1.0952781462414096,0.6638043681901661,0.9993390279833624,10.0
7.51,0.43147492421424405,-2.661411594372884e-5,1.0952779707868965,0.6638030465726523,0.9993390350015429,10.0
7.52,0.43147610442452217,-2.5433905665600056e-5,1.0952777931213518,0.6638016886968297,0.9993390421081647,10.0
7.53,0.43147731533319467,-2.422299699311421e-5,1.0952776140460871,0.6638002987128925,0.9993390492711752,10.0
7.54,0.4314785535748857,-2.298475530208618e-5,1.0952774343472447,0.6637988807723589,0.999339056459129,10.0
7.55,0.4314798157762205,-2.1722553967213315e-5,1.0952772547941547,0.6637974390179342,0.9993390636412525,10.0
7.56,0.4314810985641903,-2.0439765997443405e-5,1.0952770761378186,0.6637959775736283,0.9993390707875061,10.0
7.57,0.4314823985743669,-1.913975582091079e-5,1.095276899109419,0.6637945005350522,0.999339077868642,10.0
7.58,0.43148371245895173,-1.782587123603332e-5,1.0952767244189365,0.6637930119599849,0.9993390848562613,10.0
7.59,0.43148503689464296,-1.6501435544769596e-5,1.095276552753815,0.6637915158591722,0.9993390917228662,10.0
7.6,0.43148636859030215,-1.516973988562938e-5,1.0952763847777338,0.6637900161874317,0.9993390984419095,10.0
7.61,0.4314877042944075,-1.38340357802445e-5,1.0952762211294347,0.6637885168350272,0.9993391049878413,10.0
7.62,0.43148904080227946,-1.249752790827742e-5,1.0952760624216367,0.663787021619357,0.9993391113361533,10.0
7.63,0.4314903749630635,-1.1163367124236442e-5,1.0952759092400557,0.6637855342769923,0.9993391174634165,10.0
7.64,0.43149170368645856,-9.834643729215624e-6,1.095275762142468,0.6637840584560094,0.99933912334732,10.0
7.65,0.4314930239491792,-8.514381008603158e-6,1.095275621657888,0.6637825977087088,0.9993391289667033,10.0
7.66,0.4314943328011391,-7.205529048689363e-6,1.095275488285826,0.6637811554846871,0.9993391343015857,10.0
7.67,0.43149562737134856,-5.910958839220154e-6,1.095275362495617,0.6637797351242685,0.9993391393331941,10.0
7.68,0.43149690487351394,-4.633456673847393e-6,1.095275244725849,0.6637783398523351,0.9993391440439848,10.0
7.69,0.431498162611332,-3.375718855729864e-6,1.0952751353838732,0.6637769727725411,0.9993391484176638,10.0
7.7,0.43149939798347126,-2.1403467165204125e-6,1.0952750348453932,0.6637756368619221,0.999339152439203,10.0
7.71,0.4315006084882331,-9.298419547119712e-7,1.0952749434541438,0.6637743349659105,0.999339156094853,10.0
7.72,0.4315017917278898,2.533977020532877e-7,1.095274861521653,0.6637730697937633,0.9993391593721527,10.0
7.73,0.4315029454126899,1.407082502151714e-6,1.095274789327085,0.6637718439143951,0.9993391622599352,10.0
7.74,0.4315040673645314,2.5290343436664464e-6,1.0952747271171617,0.6637706597526303,0.9993391647483323,10.0
7.75,0.431505155520298,3.6171901102325772e-6,1.0952746751061755,0.6637695195858776,0.9993391668287717,10.0
7.76,0.43150620793485334,4.669604665530159e-6,1.095274633476065,0.6637684255412118,0.9993391684939762,10.0
7.77,0.43150722278370046,5.684453512734189e-6,1.0952746023765783,0.6637673795928777,0.9993391697379557,10.0
7.78,0.43150819836529697,6.6600351092087495e-6,1.0952745819255163,0.6637663835602196,0.9993391705559981,10.0
